backdoor1_1.m4a,오늘 서포트해 공학과 게시판에 올라온 카카오테크 캠퍼스에 대해 알려줘
backdoor1_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
backdoor1_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘.
backdoor1_4.m4a,1학기 광주시내 통합버스 운행 노선 및 운행 시간에 대해 알려줘
backdoor1_5.m4a,2023학년도 수시모지공과대학 모집단이별 면접장소를 안내해줘
backdoor2_1.m4a,오늘 소프트웨어과학과 게시판에 올라온 카카오테크 캠퍼스에 대해 말해줘
backdoor2_2.m4a,2023년 지도교수 지도학생 공지에 대해 말해줘
backdoor2_3.m4a,이번 연도 예비군 훈련에 대해 말해줘
backdoor2_4.m4a,1학기 광주시내 통학버스 운행로선 및 운행시간에 대해 말해줘
backdoor2_5.m4a,2023년 수시모집 공과대학 모집단위별 면접장소를 안내해줘
backdoor3_1.m4a,2023년도 수시 모집 공과대학 모집별 면접 장소를 안내해줘
backdoor3_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
backdoor3_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
backdoor3_4.m4a,1학기 광주시내 통합버스 운행 노선 및 운행 시간에 대해 말해줘
backdoor3_5.m4a,2023년도 수시 모집 공과대학 모집 단위별 면접청소를 안내해줘
cafe1_1.m4a,오늘 서포트하고 아까 게시방에 올라온 카카오테크 캠퍼스에 대해 알려줘
cafe1_2.m4a,2023년 지도교수 지도학생 배정 공제에 대해 말해줘
cafe1_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
cafe1_4.m4a,1학기 광주시내 통학버스 운행노선 및 운행시간에 대해 말해줘
cafe1_5.m4a,2020.03.23 수심의수 공과대학 모집단님의 민접장소를 안내해줘
cafe2_1.m4a,오늘 소프트웨어 공학과 게시판에 올라온 카카오테크 캠퍼스에 대해 말해줘
cafe2_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
cafe2_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
cafe2_4.m4a,1학기 광주시내 통학버스 운행 도선 및 운행 시간에 대해 말해줘
cafe2_5.m4a,2023학년도 수시모집 공과대학 모집단입별 면접 장소를 안내해줘
cafe3_1.m4a,오늘 소프트웨어 공학과 게시판에 올라온 카카오테크 캠퍼스에 대해 알려줘
cafe3_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
cafe3_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
cafe3_4.m4a,1학기 광주시내 통합버스 운행 노선 및 운행 시간에 대해 말해줘
cafe3_5.m4a,2023년도 수시 모지 공과대학 모지단위별 면접장소를 안내해줘
room_silent1_1.m4a,오늘 소프트웨어 공학과 게시판에 올라온 카카오테크 캠퍼스에 대해 알려줘
room_silent1_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
room_silent1_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
room_silent1_4.m4a,1학기 광주시내 통학버스 운행노선 및 운행시간에 대해 말해줘
room_silent1_5.m4a,2023년 수시무주 공과대학 모집단입일 면접장소를 안내해줘
room_silent2_1.m4a,오늘 소프트웨어 공학과 게시판에 올라온 카카오테크 캠퍼스에 대해 알려줘
room_silent2_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
room_silent2_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
room_silent2_4.m4a,1학기 광주 시내 통학버스 운행 노선 및 운행시간에 대해 알려줘
room_silent2_5.m4a,2023년 수시모집 공과대학 모집단위 별 면접 장소를 안내해줘
room_silent3_1.m4a,오늘 소프트웨어 공학과 게시판에 올라온 카카오 테크 캠퍼스에 대해 알려줘
room_silent3_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
room_silent3_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
room_silent3_4.m4a,1학기 광주시내 통합버스 운행 노선 및 운행 시간에 대해 말해줘
room_silent3_5.m4a,2023년도 수시 모집 공과대학 모집단이 별연접장소를 안내해줘
room_sound1_1.m4a,오늘 스포텔 후학과 게시판에 올라온 카카오태그 캠퍼스에 대해 알려줘
room_sound1_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
room_sound1_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
room_sound1_4.m4a,1학기 광주시내 통학버스 운행 노선 및 운행시간에 대해 말해줘
room_sound1_5.m4a,2023학년도 수신모집 공과대학 모집단 입의별 면접장소를 안내해줘
room_sound2_1.m4a,오늘 소프트웨어 영화가 게시판에 올라온 카카오테크 캠퍼스에 대해 알려줘
room_sound2_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
room_sound2_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
room_sound2_4.m4a,1학기 광주시내 통학버스 운행 노선 및 운행 시간에 대해 말해줘
room_sound2_5.m4a,2023년 수시모집공과대학 모집단이 별 면접 장소를 안내해줘
room_sound3_1.m4a,오늘 서프트의 공학과 게시판에 올라온 카카오테크 캠퍼스에 다 알려줘
room_sound3_2.m4a,2023년 지도교수 지도학생 배정공지에 대해 말해줘
room_sound3_3.m4a,이번 연도 예비군 학생 훈련에 대해 설명해줘
room_sound3_4.m4a,1학기 광주시내 통화버스 운행 노선 및 운행 시간에 대해 말해줘
room_sound3_5.m4a,2023년도 수십 모직 공과대학 모직단 이별 면접 장소를 안내해줘
